text;lang;country
"trying to find a tv channel in Thailand for #Honduras  vs #Australia #WorldCup2018 qualifier 
have pay tv but no id… https://t.co/6HpekMCR2i";en;
#WorldCup2018 : #Adidas unveils eight kits that pay homage to classic football shirts https://t.co/Kk1YdoY707 by Danil Boparai @dezeen;en;
SHIT. https://t.co/Thp1dJjTpU;en;
"POLL: Croatia vs Greece tonight - who wins? Vote+RT! 👍

#CROGRE preview ➡️ https://t.co/DekCUjYo0v

#WorldCup #WorldCup2018 ⚽🏆";en;
"RT @bettingpro: POLL: Croatia vs Greece tonight - who wins? Vote+RT! 👍

#CROGRE preview ➡️ https://t.co/DekCUjYo0v

#WorldCup #WorldCup2018…";en;
RT @bedfordyid: Spurs 6 plus 5 other blokes 😎 https://t.co/YbxtcM6tRX;en;
"#Russia vows #WorldCup2018 crackdown on scalpers
https://t.co/MhNQ055I4m";en;
RT @RedRevolution95: Which formation suits England better ? #lfcfamily #worldcup2018;en;
Poldi mi amor I do not want infidelities in RUSSIA, think only of Louis Gabriel, Maya, Johny and Monika. we love yo… https://t.co/UtU7JEVPMb;en;
Poldi mi amor I do not want infidelities in RUSSIA, think only of Louis Gabriel, Maya, Johny and Monika. we love yo… https://t.co/COHUPGU3dX;en;
"Retweeted https://t.co/FAp86tWnoM (@Podolski10):

Smiling for Moscow 📍🇷🇺👌🏻#Poldi #10 #adidas #worldcup2018 ⚽️... https://t.co/WDvNClRVHC";en;
"Retweeted https://t.co/FAp86tWnoM (@Podolski10):

Smiling for Moscow 📍🇷🇺👌🏻#Poldi #10 #adidas #worldcup2018 ⚽️... https://t.co/mNlNEPyikS";en;
#WorldCupQualifier #WCQ #WC2018 #WC #WorldCup #WorldCup2018 #NorthernIreland #Croatia #Switzerland #Greece Lockscre… https://t.co/NYds9uQR9Z;en;
#bettingtips for England's meaningless friendly against Germany  https://t.co/sNnoPNzQpV #ENGGER #bettingbetter #WorldCup2018 #WorldCup;en;
"SPECIAL

#CROGRE #Russia2018 #CroatiaGreece #WorldCup2018 #NIRSWI 💚⚽️

https://t.co/PpLXQOkbWQ";en;
"Get Northern Ireland vs Switzerland #bettingtips for tonight!

➡️ https://t.co/cgnVmH9y6a

#NIRSUI #WorldCup #WorldCup2018 ⚽🏆";en;
Simone Zaza pulled up with a knee injury in training today, so he’s a major doubt for #Italy’s play-off with… https://t.co/DkANWGrkhX;en;
Which teams will qualify for the final round of #WorldCup2018 ? #CroatiaGreece #NorthernIrelandSwitzerland… https://t.co/hjU04C1s2U;en;
"RT @tawwaq11: A Brief Illustrated Guide To Understanding #Islam

https://t.co/89DFFXWlgW 📖
:
#WorldCup
#WorldCup2018
#Russia2018… ";en;
7 #Juventus Players for Fans to Look Out for During the #InternationalBreak #WorldCup2018 https://t.co/1TlRXUtX6P https://t.co/fZGemc3AoH;en;
7 #Juventus Players to Look Out for During the #InternationalBreak #WorldCup2018 ⚪️⚫️ https://t.co/1TlRXUtX6P https://t.co/SrLf42PlFV;en;
Real sports fans will recognize the seriousness of the World Cup Qualifiers, not just their college football team. https://t.co/kw6YzQBi7F;en;
"RT @inc_jpagarwal: Congratulations to our Women Hockey team for winning #AsiaCup2017 &amp; qualifying for #WorldCup2018! Country is proud of yo…";en;
Which formations suits England better ? #WorldCup2018 #englandfc;en;
"Super Single

#CROGRE #Russia2018 #CroatiaGreece #WorldCup2018 #NIRSWI 💚⚽️

https://t.co/PpLXQOkbWQ";en;
"Probable #Croatia Starting XI vs. Greece tonight. A 4-2-3-1 with Modric &amp; Rakitic running the show from the back. Y… https://t.co/gq7BNGxaxT";en;
Is it wrong for Lionel Messi to not want to face the best in the world? #WorldCup2018 https://t.co/gBWtseAlbN;en;
RT @TurnoverPodcast: Is it wrong for Lionel Messi to not want to face the best in the world? #WorldCup2018 https://t.co/gBWtseAlbN;en;
A great way to start the tie 🙄 https://t.co/FqQZxCNd3N;en;
Oh goddamit! https://t.co/JzWHplPOqY;en;
All behind the National Swiss Football Team tonight! Road to World Cup in Russia.  #worldcup2018… https://t.co/Lgmfouk9DR;en;
The latest Cyber Tunisie Libre! https://t.co/lAEYbGrjW7 Thanks to @datacypher @CaroPerrot @ETTOILISTE59 #worldcup2018;en;
"RT @DFB_Team_EN: Our new home shirt for #WorldCup2018 🏆🇩🇪 

Available now exclusively at https://t.co/VavD76bJNf &amp;… ";en;
Aaron Mooy says Australia will not hold back against Honduras in #WorldCup2018 play-offs. Here's why:… https://t.co/0f9PMdgnCx;en;
"Get Croatia vs Greece #bettingtips for tonight!

➡️ https://t.co/DekCUjYo0v

#CROGRE #WorldCup #WorldCup2018 ⚽🏆";en;
"Honduras v Australia World Cup Qualifier Tips, Prediction and Match Preview

#HONvAUS #WorldCup2018… https://t.co/BIAdW8X0HA";en;
"Honduras v Australia World Cup Qualifier Tips, Prediction and Match Preview

#HONvAUS #WorldCup2018… https://t.co/n8l2yyt1MV";en;
"RT @CroatianSoccer: Probable #Croatia Starting XI vs. Greece tonight. A 4-2-3-1 with Modric &amp; Rakitic running the show from the back. Y… ";en;
"The power of the World Cup: Peru expect to sell 3 million national team shirts this week alone⚽
#WCQ2018… https://t.co/tAOG2jez3h";en;
"Honduras v Australia World Cup Qualifier Tips, Prediction and Match Preview

#HONvAUS #WorldCup2018… https://t.co/q4pObf2n9J";en;
Time flies when you're having fun, book early and enjoy our reduced prices while they last for the #WorldCup2018 ⚽️… https://t.co/wwDLiQrQ4e;en;
#Greece Faces #Croatia as #WorldCup2018 Qualifying Reaching its Climax https://t.co/4i76aGkKkY #Greek #soccer https://t.co/b0geuSFaxj;en;
RT @NationalHerald: #Greece Faces #Croatia as #WorldCup2018 Qualifying Reaching its Climax https://t.co/4i76aGkKkY #Greek #soccer https://t…;en;
Any tv stations showing the play off games between Honduras and Australia and Peru and new Zealand over weekend? #WorldCup2018;en;
What an opportunity @NorthernIreland have tonight. You've made us all so proud even reaching this stage. Let's do t… https://t.co/0oLYbA9nm3;en;
"@FIFAWorldCup  #WCQ
UEFA Qualification:: 2nd round

20:45 - Croatia vs Greece 
20:45 - N.Ireland vs Switzerland… https://t.co/8Pd2Zykoq1";en;
"RT @RachidAhboub: YES WE CAN DO IT 
#civmar #maroc #morocco #WorldCup2018  #russia2018 
#roadtorussia #wecandoit https://t.co/loReaKE9Cm";en;
"@FIFAWorldCup #WCQ 
UEFA Qualification:: 2nd round
20:45 - Croatia vs Greece 
20:45 - N.Ireland vs Switzerland

Liv… https://t.co/52Pd2FzbMA";en;
"Football Betting Tips

#CROGRE #Russia2018 #CroatiaGreece #WorldCup2018 #NIRSWI 💚⚽️

https://t.co/PpLXQOkbWQ";en;
I fancy the Northern Irish to beat the Swiss tonight. The cup final atmosphere will spur the boys on not that they… https://t.co/ObJ4wp1YvJ;en;
Hopefully both @NorthernIreland and @FAIreland can make it through the playoffs for next summer #WorldCup2018 #Playoffs;en;
"Soccer Roundup: Atlanta’s Julian Gressel voted MLS Rookie of the Year
#MLS
#WorldCup2018 
#SoccerNews
#LaLiga… https://t.co/TcPXaD1P8t";en;
Is it time for super Mario?!? https://t.co/WAnDpMAwNV;en;
#menswear #EastLondon #worldcup2018 oh my god https://t.co/KGYcYi8OHx;en;
#seekingbeauty #Delmas #worldcup2018 holy… https://t.co/rhktcdyN4A;en;
#singler #Standerton #worldcup2018 holy… https://t.co/GofebUdFzb;en;
Big game today! #NorthernIrelend vs #switzerland #Zurich #FIFA #museum #WorldCup2018 https://t.co/SMY3ryuNf7;en;
RT @LiveU_Events: Time flies when you're having fun, book early and enjoy our reduced prices while they last for the #WorldCup2018 ⚽️… ;en;
#sexystyle #Vanderbijlpark #worldcup2018 holy… https://t.co/7J8NYG9qYb;en;
"https://t.co/WxXyY6BZSu
Greece faces Croatia in Zagreb tonight @EthnikiOmada #WorldCup2018";en;
"There was a FROSTY RECEPTION awaiting Argentina in Moscow this week!

#Argentina #WorldCup2018 https://t.co/6vIsuY1ZfC";en;
"RT @SportdecApp: There was a FROSTY RECEPTION awaiting Argentina in Moscow this week!

#Argentina #WorldCup2018 https://t.co/6vIsuY1ZfC";en;
Adidas expecting growth from World Cup sales https://t.co/tZlSeFltMQ #adidas #adidasoriginals #adidaswomen… https://t.co/gqIVMx2V2l;en;
