text;lang;country
"#Sweden vs #Italy Preview &amp; Prediction! #SwedenItaly #Azzurri #vivoazzurro #Allsvenskan #WorldCup #WCQ… https://t.co/JqTWCKWgB7";fr;
"Tout*

Manci https://t.co/wjfBtxwlX8";fr;
Demain , c'est le rendez-vous le plus important des dernières années pour les lions de l'atlas, la gloire les atten… https://t.co/3dCscNAUOJ;fr;
RT @aquamiragekech: Demain , c'est le rendez-vous le plus important des dernières années pour les lions de l'atlas, la gloire les atten… ;fr;
#WorldCup2018 #TUNLIB #SWEITA:L'Italie a atteint la finale de la coupe du monde en 1982 alors que la Libye accueill… https://t.co/HzrrEDrHLi;fr;
"RT @FIFA18_Matches: #Sweden vs #Italy Preview &amp; Prediction! #SwedenItaly #Azzurri #vivoazzurro #Allsvenskan #WorldCup #WCQ… ";fr;
#WorldCup2018: #RSASEN @SenegalFootball: La  connexion entre le Sénégal et l'Afrique du Sud dans la Coupe du Monde… https://t.co/gKT3C3FneU;fr;
Une autre  connexion est que les deux ont dessiné avec le Danemark et ont eu des  joueurs expulsés en 2002 et 1998… https://t.co/ueLVYDRxex;fr;
Inscrivez-vous sur Winamax via ce lien, vous recevrez un bonus de 10 € https://t.co/2hNI4085fE #TeamParieur… https://t.co/ssuOOjRpNX;fr;
"Ce soir choc 🇸🇪 vs 🇮🇹 à 20h45
Match de barrage aller à Solna. Match retour le 13 à Milan.

L'Italie (4 fois champio… https://t.co/7wrArDxeEK";fr;
"RT @jprono24: Ce soir choc 🇸🇪 vs 🇮🇹 à 20h45
Match de barrage aller à Solna. Match retour le 13 à Milan.

L'Italie (4 fois champio… ";fr;
"Voici le ballon officiel de la Coupe du Monde 2018 en Russie ⚽️🏆
Bientôt disponible sur https://t.co/6L1wNQGlzc… https://t.co/TtxvHYMOs7";fr;
"RT @CasalSport: Voici le ballon officiel de la Coupe du Monde 2018 en Russie ⚽️🏆
Bientôt disponible sur https://t.co/6L1wNQGlzc… ";fr;
non vous avez l'obligation https://t.co/iab6V8NlKf;fr;
#Senegal #WorldCup2018  On gagne ou on... gagne https://t.co/8wO2d32Njr;fr;
RT @ndiassesambe: #Senegal #WorldCup2018  On gagne ou on... gagne https://t.co/8wO2d32Njr;fr;
Ancelotti au mondial avec la Croatie... tout sauf du Pipo ! #azzuri #Italia #Croatia #WorldCup2018;fr;
"Allez les Bleus ! 🇫🇷🏆⚽️
#FRAGAL #AllezLesBleus #WorldCup2018 

https://t.co/0KGlIdEbDc";fr;
"RT @LTCitoyenne: Allez les Bleus ! 🇫🇷🏆⚽️
#FRAGAL #AllezLesBleus #WorldCup2018 

https://t.co/0KGlIdEbDc";fr;
Sa siffle tres (trop) souvent d'un seule côté... #AFSSEN #WorldCup2018 #WorldCupQualifiers;fr;
"La puissance des Marabouts Sénégalais &gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;
#AFSSEN #WorldCup2018 #WorldCupQualifiers";fr;
Voilà qui à le mérite d'être très clair. Démonstration sur le terrain. https://t.co/RtDOyobORm;fr;
Yes 2-0 pour nous c'est bon ça!!!! #AFSSEN #ZoneAfrique #WorldCup2018 #Sénégal;fr;
"Pendant 90 minutes les coeurs en fusion et les souhaits de réussite unanimes. C'est mon beau pays le #Senegal 
#WorldCup2018 #Russia2018";fr;
Nous sommes avec toi coach. https://t.co/3GfbyFYhAO;fr;
Sur le papier c’est vraiment une belle équipe le #Senegal , content qu’ils reviennent sur la scène internationale 👏 on est ens #WorldCup2018;fr;
RT @VitoB_21: Match aller des barrages de #WorldCup2018. Une presse unanime : la @FIGC DOIT passer ce tour, avec caractère et per… ;fr;
RT @WilmotsMarc: Exactement 2 semaines avant la confrontation avec le Maroc. Tous unis pour la qualification de @FIFCI_tweet ! #WCQ… ;fr;
Des #Lions débordant de réalisme se qualifient pour la #worldcup2018 après un match épique à #Polokwane #Senegal ca kannam score final 0-2;fr;
Je suis trop saucée là 🇸🇳🇸🇳🇸🇳🇸🇳🇸🇳🇸🇳🇸🇳🇸🇳 mais on doit peaufiner notre jeu pour la #WorldCup2018 on y va pas pour thiakhane;fr;
"Sénégal 🇸🇳🇸🇳🇸❤❤🇳

#WorldCup2018";fr;
Bravo au Sénégal. Direction la Russie en chanson 😁 🇸🇳 🇷🇺 #WorldCup2018 #RSASEN  SEFYU - Senegalo Ruskov https://t.co/IXKbuoi8Oa via @YouTube;fr;
#Bravo #Diarama C'est officiel la Qualification au Mondial 2018 pour le #Senegal #DirectionMoskova #RSASEN… https://t.co/JWZJMn90P8;fr;France
Sénégal à la #Russie #coupedumonde2018 #WorldCup2018 #Russia2018WorldCup 🇸🇳🇸🇳🇸🇳 !!!!!;fr;
"Félicitations !
#faitesnousrevers
#commeen2002
#RSASEN #WorldCup2018 https://t.co/qGAX7FRYJy";fr;
CAN passè modone sarakh bi pour #WorldCup2018;fr;
RT @SmbEnE: CAN passè modone sarakh bi pour #WorldCup2018;fr;
Fierté, le Sénégal passera l'été chez Vlad' #Senegal #RSASEN #WorldCup2018;fr;
C’est une fierté pour le peuple Sénégalais qui avait désigné aliou Cisse comme sélectionneur #pariReussi #WorldCup2018 #team221;fr;
Mbeuleiii 😜😜 on va en Russie nous 🇸🇳🇸🇳🇸🇳 yeine ak bafana bafana doleine bouger millimètres 😜😜😝😝🇸🇳🇸🇳🇸🇳 #Russia2018… https://t.co/m8YqI6Nvcf;fr;Senegal
RT @saly_dgn: Je suis trop saucée là 🇸🇳🇸🇳🇸🇳🇸🇳🇸🇳🇸🇳🇸🇳🇸🇳 mais on doit peaufiner notre jeu pour la #WorldCup2018 on y va pas pour thiakhane;fr;
RT @Aicha_Njie: Mbeuleiii 😜😜 on va en Russie nous 🇸🇳🇸🇳🇸🇳 yeine ak bafana bafana doleine bouger millimètres 😜😜😝😝🇸🇳🇸🇳🇸🇳 #Russia2018… ;fr;
"RT @JudeLions: @WilmotsMarc @maxwellborn @FIFCI_tweet @SoutienauxE Mais soit unp rassurant non?!!!!
Ensemble, nous nous qualifiero… ";fr;
Senegal wayyye au mondial que Dieu les remettent sur la route des bleus #WorldCup2018;fr;France
